Cardiac Cycle (beat),ECG_P_Peaks,ECG_Q_Peaks,ECG_R_Peaks,ECG_S_Peaks,ECG_T_Peaks,Px,Py,Qx,Qy,Rx,Ry,Sx,Sy,Tx,Ty,OnQRS_x,OffQRS_x,OnQRS_y,OffQRS_y,PPinterval,QQinterval,RRinterval,SSinterval,TTinterval,PP2,QQ2,RR2,SS2,TT2,P-Pamplitude,Q-Qamplitude,R-Ramplitude,S-Samplitude,T-Tamplitude,R-R2amplitude,Q-Q2amplitude,R-R2amplitude,S-S2amplitude,T-T2amplitude,P->R interval,Q->S interval,Q->T interval,T->Q interval,P->R segment,S->T segment,PQ_y_diff,QR_y_diff,RS_y_diff,ST_y_diff,HRV-RRinterval,HRV-PreRRinterval,HRV-PosRRinterval,HPF X4,HPF X5
1118,203558,203578,203583,203590,203649,0,0.0219727,20,-0.24829099999999998,25,0.6811520000000001,32,-0.13183599999999998,91,0.0219727,10.0,61.5,-0.44824200000000003,-0.0153809,0,-1,-1,-1,0,203769,203768,203768,203768,203769,-0.006591800000000002,-0.015380999999999978,0.04833999999999994,-0.032959000000000016,-0.0021972999999999993,0.04833999999999994,-0.015380999999999978,0.04833999999999994,-0.032959000000000016,-0.0021972999999999993,25,12,71,139,25,59,-0.2702637,0.929443,-0.812988,0.1538087,145,67,210,78,65
1119,203769,203788,203793,203800,203860,0,0.0153809,19,-0.26367199999999996,24,0.729492,31,-0.164795,91,0.019775400000000002,9.5,61.0,-0.32959,-0.0153809,0,0,1,0,-1,203979,203979,203980,203979,203978,0.006591800000000002,-0.090088,-0.024170000000000025,0.037354,-0.0021973000000000027,-0.024170000000000025,-0.090088,-0.024170000000000025,0.037354,-0.0021973000000000027,24,12,72,138,24,60,-0.27905289999999994,0.9931639999999999,-0.894287,0.1845704,210,145,211,65,1
1120,203979,203998,204004,204010,204069,0,0.0219727,19,-0.35375999999999996,25,0.705322,31,-0.127441,90,0.0175781,9.5,60.5,-0.32959,-0.013183600000000002,0,1,0,1,0,204190,204191,204190,204191,204190,0.0,0.01977599999999996,-0.04834000000000005,0.01098600000000001,0.004394600000000002,-0.04834000000000005,0.01977599999999996,-0.04834000000000005,0.01098600000000001,0.004394600000000002,25,12,71,141,25,59,-0.3757327,1.059082,-0.832763,0.1450191,211,210,211,1,0
1121,204190,204210,204215,204222,204280,0,0.0219727,20,-0.333984,25,0.656982,32,-0.11645499999999999,90,0.0219727,10.0,61.0,-0.44824200000000003,-0.0153809,0,0,1,1,-5,204405,204405,204406,204406,204400,0.0021972,-0.02856499999999995,0.013184000000000085,0.0021969999999999906,-0.006591800000000002,0.013184000000000085,-0.02856499999999995,0.013184000000000085,0.0021969999999999906,-0.006591800000000002,25,12,70,145,25,58,-0.3559567,0.990966,-0.7734369999999999,0.1384277,211,211,216,0,5
1122,204405,204425,204431,204438,204490,0,0.0241699,20,-0.36254899999999995,26,0.670166,33,-0.114258,85,0.0153809,10.0,59.0,-0.44824200000000003,-0.026367200000000004,0,-1,-2,-2,6,204623,204622,204621,204621,204629,-0.0021972,0.07910199999999995,0.02636699999999992,-0.028564000000000006,0.0,0.02636699999999992,0.07910199999999995,0.02636699999999992,-0.028564000000000006,0.0,26,13,65,152,26,52,-0.3867189,1.032715,-0.784424,0.1296389,216,211,216,5,0
1123,204623,204642,204647,204654,204714,0,0.0219727,19,-0.283447,24,0.696533,31,-0.142822,91,0.0153809,9.5,61.0,-0.32959,-0.0153809,0,-1,-1,-1,-6,204839,204838,204838,204838,204833,0.0021972,-0.04614299999999999,-0.006591999999999931,-0.010986999999999997,0.0021972,-0.006591999999999931,-0.04614299999999999,-0.006591999999999931,-0.010986999999999997,0.0021972,24,12,72,143,24,60,-0.3054197,0.97998,-0.839355,0.1582029,216,216,215,0,-1
1124,204839,204857,204862,204869,204924,0,0.0241699,18,-0.32959,23,0.689941,30,-0.153809,85,0.0175781,9.0,57.5,-0.32959,-0.032958999999999995,0,2,1,1,-1,205049,205051,205050,205050,205048,0.006591800000000002,0.057128999999999985,0.015380999999999978,0.010986999999999997,-0.004394499999999997,0.015380999999999978,0.057128999999999985,0.015380999999999978,0.010986999999999997,-0.004394499999999997,23,12,67,145,23,55,-0.3537599,1.019531,-0.84375,0.17138710000000001,215,216,211,-1,-4
1125,205049,205069,205073,205080,205133,0,0.030761700000000003,20,-0.272461,24,0.705322,31,-0.142822,84,0.013183600000000002,10.0,57.5,-0.44824200000000003,-0.032958999999999995,0,1,2,2,6,205260,205261,205262,205262,205266,0.006591800000000002,0.004395000000000038,0.0,0.021972000000000005,0.0,0.0,0.004395000000000038,0.0,0.021972000000000005,0.0,24,11,64,148,24,53,-0.3032227,0.9777830000000001,-0.848144,0.1560056,211,215,213,-4,2
1126,205260,205281,205286,205293,205350,0,0.037353500000000005,21,-0.26806599999999997,26,0.705322,33,-0.12085,90,0.013183600000000002,10.5,61.5,-0.44824200000000003,-0.0153809,0,-1,-1,-1,-37,205472,205471,205471,205471,205435,-0.010986300000000001,-0.032959000000000016,0.004395000000000038,-0.010985999999999982,-0.010986330000000002,0.004395000000000038,-0.032959000000000016,0.004395000000000038,-0.010985999999999982,-0.010986330000000002,26,12,69,142,26,57,-0.30541949999999995,0.9733879999999999,-0.826172,0.1340336,213,211,211,2,-2
1127,205472,205492,205497,205504,205525,0,0.026367200000000004,20,-0.301025,25,0.709717,32,-0.13183599999999998,53,0.00219727,10.0,42.5,-0.44824200000000003,-0.0285645,0,-1,-1,-1,35,205684,205683,205683,205683,205719,-0.006591800000000002,-0.03076200000000001,0.0021970000000000045,-0.0021970000000000045,0.01757813,0.0021970000000000045,-0.03076200000000001,0.0021970000000000045,-0.0021970000000000045,0.01757813,25,12,33,178,25,21,-0.32739219999999997,1.010742,-0.841553,0.13403326999999998,211,213,211,-2,0
1128,205684,205703,205708,205715,205772,0,0.019775400000000002,19,-0.331787,24,0.711914,31,-0.13403299999999999,88,0.019775400000000002,9.5,59.5,-0.32959,-0.026367200000000004,0,0,0,0,4,205895,205895,205895,205895,205899,0.004394499999999999,0.006592000000000042,0.0021969999999998935,-0.010987000000000025,-0.004394500000000003,0.0021969999999998935,0.006592000000000042,0.0021969999999998935,-0.010987000000000025,-0.004394500000000003,24,12,69,142,24,57,-0.3515624,1.043701,-0.845947,0.15380839999999998,211,211,211,0,0
1129,205895,205914,205919,205926,205987,0,0.0241699,19,-0.32519499999999996,24,0.7141109999999999,31,-0.14502,92,0.0153809,9.5,61.5,-0.32959,-0.0153809,0,0,0,1,-3,206103,206103,206103,206104,206100,-0.004394499999999999,-0.0021980000000000333,-0.01098599999999994,0.010987000000000025,0.0,-0.01098599999999994,-0.0021980000000000333,-0.01098599999999994,0.010987000000000025,0.0,24,12,73,135,24,61,-0.3493649,1.0393059999999998,-0.859131,0.1604009,211,211,208,0,-3
1130,206103,206122,206127,206135,206192,0,0.019775400000000002,19,-0.327393,24,0.703125,32,-0.13403299999999999,89,0.0153809,9.5,60.5,-0.32959,-0.013183600000000002,0,-3,-6,-2,-41,206192,206189,206186,206190,206151,-0.004394500000000003,0.32959026999999996,-0.6723633,0.101074,-0.008789099999999998,-0.6723633,0.32959026999999996,-0.6723633,0.101074,-0.008789099999999998,24,13,70,16,24,57,-0.3471684,1.030518,-0.837158,0.1494139,208,211,83,-3,-125
1131,206192,206208,206210,206222,206240,0,0.0153809,16,0.00219727,18,0.030761700000000003,30,-0.032958999999999995,48,0.006591800000000001,8.0,39.0,-0.19775399999999999,-0.0241699,0,3,7,2,45,206314,206317,206321,206316,206359,0.004394500000000003,-0.35156227,0.6284183,-0.079102,0.008789099999999998,0.6284183,-0.35156227,0.6284183,-0.079102,0.008789099999999998,18,14,32,93,18,18,-0.01318363,0.028564430000000002,-0.06372069999999999,0.0395508,83,208,129,-125,46
1132,206314,206333,206339,206346,206407,0,0.019775400000000002,19,-0.34936500000000004,25,0.65918,32,-0.112061,93,0.0153809,9.5,62.5,-0.32959,-0.0153809,0,-14,-12,-6,-23,206407,206393,206395,206401,206384,-0.004394500000000003,0.34497047000000003,-0.6328128,0.09668009999999999,-0.01318363,-0.6328128,0.34497047000000003,-0.6328128,0.09668009999999999,-0.01318363,25,13,74,5,25,61,-0.36914040000000004,1.008545,-0.771241,0.1274419,129,83,81,46,-48
1133,206407,206412,206420,206433,206477,0,0.0153809,5,-0.00439453,13,0.026367200000000004,26,-0.0153809,70,0.00219727,2.5,48.0,-0.054931600000000004,-0.019775400000000002,0,14,11,5,19,206528,206542,206539,206533,206547,0.008789000000000002,-0.26806647,0.6459958,-0.10986309999999999,0.01757813,0.6459958,-0.26806647,0.6459958,-0.10986309999999999,0.01757813,13,21,65,70,13,44,-0.01977543,0.030761730000000004,-0.0417481,0.01757817,81,129,132,-48,51
1134,206528,206547,206552,206559,206617,0,0.0241699,19,-0.272461,24,0.672363,31,-0.125244,89,0.019775400000000002,9.5,60.0,-0.32959,-0.013183600000000002,0,0,0,0,-5,206743,206743,206743,206743,206738,0.0021973000000000027,0.026367,-0.008789000000000047,-0.0021970000000000045,-0.004394500000000003,-0.008789000000000047,0.026367,-0.008789000000000047,-0.0021970000000000045,-0.004394500000000003,24,12,70,145,24,58,-0.29663090000000003,0.9448240000000001,-0.7976070000000001,0.1450194,132,81,215,51,83
1135,206743,206762,206767,206774,206827,0,0.026367200000000004,19,-0.246094,24,0.663574,31,-0.127441,84,0.0153809,9.5,57.5,-0.32959,-0.032958999999999995,0,0,0,0,5,206957,206957,206957,206957,206962,-0.0021973000000000027,-0.024169999999999997,0.06811500000000004,-0.01757900000000001,0.0,0.06811500000000004,-0.024169999999999997,0.06811500000000004,-0.01757900000000001,0.0,24,12,65,149,24,53,-0.2724612,0.909668,-0.791015,0.1428219,215,132,214,83,-1
1136,206957,206976,206981,206988,207046,0,0.0241699,19,-0.270264,24,0.731689,31,-0.14502,89,0.0153809,9.5,60.0,-0.32959,-0.013183600000000002,0,1,1,1,3,207169,207170,207170,207170,207172,0.0,-0.037353000000000025,-0.035156000000000076,0.00439500000000001,0.004394500000000003,-0.035156000000000076,-0.037353000000000025,-0.035156000000000076,0.00439500000000001,0.004394500000000003,24,12,70,143,24,58,-0.2944339,1.001953,-0.8767090000000001,0.1604009,214,215,213,-1,-1
1137,207169,207189,207194,207201,207261,0,0.0241699,20,-0.30761700000000003,25,0.696533,32,-0.140625,92,0.019775400000000002,10.0,62.0,-0.44824200000000003,-0.0153809,0,-1,-1,-1,-6,207386,207385,207385,207385,207380,0.0043945999999999985,0.03515600000000002,-0.006591999999999931,0.019775,0.0021972999999999993,-0.006591999999999931,0.03515600000000002,-0.006591999999999931,0.019775,0.0021972999999999993,25,12,72,144,25,60,-0.33178690000000005,1.00415,-0.837158,0.1604004,213,214,216,-1,3
1138,207386,207405,207410,207417,207472,0,0.0285645,19,-0.272461,24,0.689941,31,-0.12085,86,0.0219727,9.5,58.5,-0.32959,-0.039550800000000004,0,1,1,1,8,207601,207602,207602,207602,207609,-0.006591799999999998,-0.04614299999999999,-0.010986000000000051,-0.013182999999999986,-0.013183640000000002,-0.010986000000000051,-0.04614299999999999,-0.010986000000000051,-0.013182999999999986,-0.013183640000000002,24,12,67,149,24,55,-0.3010255,0.962402,-0.810791,0.1428227,216,213,216,3,0
1139,207601,207621,207626,207633,207695,0,0.0219727,20,-0.318604,25,0.678955,32,-0.13403299999999999,94,0.00878906,10.0,63.0,-0.44824200000000003,-0.006591800000000001,0,-2,-2,-1,-5,207821,207819,207819,207820,207816,-0.004394600000000002,-0.015380000000000005,-0.004394000000000009,0.017577999999999996,0.00659184,-0.004394000000000009,-0.015380000000000005,-0.004394000000000009,0.017577999999999996,0.00659184,25,12,74,144,25,62,-0.3405767,0.997559,-0.8129879999999999,0.14282205999999997,216,216,218,0,2
1140,207821,207839,207844,207852,207910,0,0.0175781,18,-0.333984,23,0.674561,31,-0.11645499999999999,89,0.0153809,9.0,60.0,-0.32959,-0.013183600000000002,0,1,1,0,2,208038,208039,208039,208038,208040,0.004394600000000002,0.050537,0.01538000000000006,-0.02417000000000001,0.0021972,0.01538000000000006,0.050537,0.01538000000000006,-0.02417000000000001,0.0021972,23,13,71,147,23,58,-0.3515621,1.008545,-0.7910159999999999,0.13183589999999998,218,216,218,2,0
1141,208038,208057,208062,208069,208129,0,0.0219727,19,-0.283447,24,0.689941,31,-0.140625,91,0.0175781,9.5,61.0,-0.32959,-0.0153809,0,-15,-15,-15,-18,208267,208252,208252,208252,208249,-0.1625977,0.0021970000000000045,0.03295899999999996,0.0021970000000000045,-0.004394499999999997,0.03295899999999996,0.0021970000000000045,0.03295899999999996,0.0021970000000000045,-0.004394499999999997,24,12,72,142,24,60,-0.3054197,0.973388,-0.830566,0.15820309999999999,218,218,214,0,-4
1142,208267,208271,208276,208283,208340,0,-0.140625,4,-0.28125,9,0.7229,16,-0.138428,73,0.013183600000000002,2.0,44.5,-0.054931600000000004,-0.0285645,0,16,16,17,18,208465,208481,208481,208482,208483,0.1713867,-0.059326000000000045,-0.06372,0.021973000000000006,0.0021972999999999975,-0.06372,-0.059326000000000045,-0.06372,0.021973000000000006,0.0021972999999999975,9,12,69,145,9,57,-0.140625,1.00415,-0.861328,0.15161159999999999,214,218,214,-4,0
1143,208465,208485,208490,208498,208556,0,0.030761700000000003,20,-0.34057600000000005,25,0.65918,33,-0.11645499999999999,91,0.0153809,10.0,62.0,-0.44824200000000003,-0.0153809,0,1,1,0,-1,208678,208679,208679,208678,208677,-0.0021972000000000033,0.07251000000000007,0.03735299999999997,-0.0021970000000000045,0.0021972,0.03735299999999997,0.07251000000000007,0.03735299999999997,-0.0021970000000000045,0.0021972,25,13,71,143,25,58,-0.37133770000000005,0.9997560000000001,-0.775635,0.13183589999999998,214,214,214,0,0
1144,208678,208699,208704,208711,208768,0,0.0285645,21,-0.26806599999999997,26,0.696533,33,-0.118652,90,0.0175781,10.5,61.5,-0.44824200000000003,-0.0153809,0,-2,-2,-1,1,208892,208890,208890,208891,208893,-0.008789099999999998,-0.06372100000000003,-0.04833999999999994,-0.006592000000000001,-0.0021972,-0.04833999999999994,-0.06372100000000003,-0.04833999999999994,-0.006592000000000001,-0.0021972,26,12,69,143,26,57,-0.29663049999999996,0.964599,-0.8151849999999999,0.1362301,214,214,212,0,-2
1145,208892,208911,208916,208924,208983,0,0.019775400000000002,19,-0.331787,24,0.648193,32,-0.125244,91,0.0153809,9.5,61.5,-0.32959,-0.0153809,0,0,0,-1,-7,209109,209109,209109,209108,209102,0.010986300000000001,0.02636700000000003,0.030761999999999956,-0.008788999999999991,0.0,0.030761999999999956,0.02636700000000003,0.030761999999999956,-0.008788999999999991,0.0,24,13,72,145,24,59,-0.3515624,0.9799800000000001,-0.773437,0.1406249,212,214,217,-2,5
1146,209109,209128,209133,209140,209193,0,0.030761700000000003,19,-0.30541999999999997,24,0.678955,31,-0.13403299999999999,84,0.0153809,9.5,57.5,-0.32959,-0.032958999999999995,0,2,2,2,10,209323,209325,209325,209325,209333,-0.010986300000000001,0.015380999999999978,0.037354,-0.00439500000000001,0.0,0.037354,0.015380999999999978,0.037354,-0.00439500000000001,0.0,24,12,65,151,24,53,-0.33618169999999997,0.984375,-0.8129879999999999,0.1494139,217,212,216,5,-1
1147,209323,209344,209349,209356,209417,0,0.019775400000000002,21,-0.290039,26,0.716309,33,-0.138428,94,0.0153809,10.5,63.5,-0.44824200000000003,-0.006591800000000001,0,-14,-13,-7,-52,209417,209403,209404,209410,209365,-0.004394500000000003,0.2834472,-0.6811526999999999,0.12304709999999999,-0.010986369999999999,-0.6811526999999999,0.2834472,-0.6811526999999999,0.12304709999999999,-0.010986369999999999,26,12,73,7,26,61,-0.3098144,1.006348,-0.854737,0.1538089,216,217,81,-1,-135
1148,209417,209424,209430,209443,209459,0,0.0153809,7,-0.006591800000000001,13,0.0351563,26,-0.0153809,42,0.00439453,3.5,34.0,-0.037353500000000005,-0.037353500000000005,0,13,12,5,48,209537,209550,209549,209542,209585,0.015380800000000003,-0.30542020000000003,0.6547847,-0.1362301,0.013183569999999999,0.6547847,-0.30542020000000003,0.6547847,-0.1362301,0.013183569999999999,13,19,35,98,13,16,-0.0219727,0.0417481,-0.050537200000000004,0.01977543,81,216,132,-135,51
1149,209537,209557,209562,209568,209627,0,0.030761700000000003,20,-0.312012,25,0.689941,31,-0.151611,90,0.0175781,10.0,60.5,-0.44824200000000003,-0.013183600000000002,0,-2,-2,0,-5,209753,209751,209751,209753,209748,-0.006591800000000002,-0.035155999999999965,-0.04394500000000001,0.03955,0.0,-0.04394500000000001,-0.035155999999999965,-0.04394500000000001,0.03955,0.0,25,11,70,144,25,59,-0.3427737,1.001953,-0.8415520000000001,0.16918909999999998,132,81,214,51,82
1150,209753,209771,209776,209784,209838,0,0.0241699,18,-0.347168,23,0.645996,31,-0.112061,85,0.0175781,9.0,58.0,-0.32959,-0.039550800000000004,0,2,2,1,-1,209967,209969,209969,209968,209966,0.0021973000000000027,0.04833999999999994,0.02197299999999991,-0.008789000000000005,-0.0021972,0.02197299999999991,0.04833999999999994,0.02197299999999991,-0.008789000000000005,-0.0021972,23,13,67,149,23,54,-0.3713379,0.9931639999999999,-0.758057,0.1296391,214,132,216,82,2
1151,209967,209987,209992,209999,210051,0,0.026367200000000004,20,-0.29882800000000004,25,0.6679689999999999,32,-0.12085,84,0.0153809,10.0,58.0,-0.44824200000000003,-0.039550800000000004,0,-4,-2,0,-30,210051,210047,210049,210051,210021,-0.010986300000000004,0.29003894,-0.6437991,0.1032719,-0.008789099999999998,-0.6437991,0.29003894,-0.6437991,0.1032719,-0.008789099999999998,25,12,64,16,25,52,-0.3251952,0.9667969999999999,-0.7888189999999999,0.1362309,216,214,82,2,-134
1152,210051,210067,210074,210083,210105,0,0.0153809,16,-0.00878906,23,0.0241699,32,-0.0175781,54,0.006591800000000001,8.0,43.0,-0.19775399999999999,-0.026367200000000004,0,4,2,0,35,210183,210187,210185,210183,210218,0.0021972,-0.30761694,0.6481931000000001,-0.1032719,0.010986299999999997,0.6481931000000001,-0.30761694,0.6481931000000001,-0.1032719,0.010986299999999997,23,16,38,98,23,22,-0.024169959999999997,0.03295896,-0.041748,0.0241699,82,216,134,-134,52
1153,210183,210203,210208,210215,210272,0,0.0175781,20,-0.316406,25,0.672363,32,-0.12085,89,0.0175781,10.0,60.5,-0.44824200000000003,-0.013183600000000002,0,-1,0,0,0,210397,210396,210397,210397,210397,0.0109864,-0.032959000000000016,0.004394999999999927,-0.006591,0.0,0.004394999999999927,-0.032959000000000016,0.004394999999999927,-0.006591,0.0,25,12,69,144,25,57,-0.3339841,0.988769,-0.7932130000000001,0.1384281,134,82,214,52,80
1154,210397,210416,210422,210429,210486,0,0.0285645,19,-0.34936500000000004,25,0.676758,32,-0.127441,89,0.0175781,9.5,60.5,-0.32959,-0.013183600000000002,0,1,0,1,-36,210610,210611,210610,210611,210574,-0.008789099999999998,0.03515600000000002,0.01098599999999994,0.015380000000000005,-0.02197263,0.01098599999999994,0.03515600000000002,0.01098599999999994,0.015380000000000005,-0.02197263,25,13,70,144,25,57,-0.37792950000000003,1.0261230000000001,-0.804199,0.1450191,214,134,213,80,-1
1155,210610,210630,210635,210643,210663,0,0.019775400000000002,20,-0.314209,25,0.6877439999999999,33,-0.112061,53,-0.00439453,10.0,43.0,-0.44824200000000003,-0.026367200000000004,0,0,0,-1,39,210824,210824,210824,210823,210863,0.004394499999999999,0.079102,-0.01098599999999994,-0.026367,0.02197263,-0.01098599999999994,0.079102,-0.01098599999999994,-0.026367,0.02197263,25,13,33,181,25,20,-0.3339844,1.0019529999999999,-0.7998049999999999,0.10766647,213,214,214,-1,1
1156,210824,210844,210849,210856,210916,0,0.0241699,20,-0.235107,25,0.676758,32,-0.138428,92,0.0175781,10.0,62.0,-0.44824200000000003,-0.0153809,0,-3,-3,-3,-8,211041,211038,211038,211038,211033,-0.0021972,0.013183000000000028,-0.02197299999999991,0.024169999999999997,0.0021973000000000027,-0.02197299999999991,0.013183000000000028,-0.02197299999999991,0.024169999999999997,0.0021973000000000027,25,12,72,142,25,60,-0.25927690000000003,0.9118649999999999,-0.815186,0.15600609999999998,214,213,214,1,0
1157,211041,211058,211063,211070,211125,0,0.0219727,17,-0.22192399999999998,22,0.6547850000000001,29,-0.114258,84,0.019775400000000002,8.5,56.5,-0.19775399999999999,-0.0285645,0,4,4,4,3,211252,211256,211256,211256,211255,0.008789000000000002,-0.04834000000000002,0.02856499999999995,-0.008789000000000005,-0.0065918,0.02856499999999995,-0.04834000000000002,0.02856499999999995,-0.008789000000000005,-0.0065918,22,12,67,148,22,55,-0.2438967,0.8767090000000001,-0.769043,0.1340334,214,214,215,0,1
1158,211252,211273,211278,211285,211339,0,0.030761700000000003,21,-0.270264,26,0.68335,33,-0.123047,87,0.013183600000000002,10.5,60.0,-0.44824200000000003,-0.013183600000000002,0,-2,-1,-3,2,211470,211468,211469,211467,211472,-0.015380800000000003,-0.08129900000000001,-0.008789000000000047,-0.043945,0.004394499999999997,-0.008789000000000047,-0.08129900000000001,-0.008789000000000047,-0.043945,0.004394499999999997,26,12,66,150,26,54,-0.3010257,0.953614,-0.806397,0.1362306,215,214,217,1,2
1159,211470,211489,211495,211500,211559,0,0.0153809,19,-0.351563,25,0.674561,30,-0.166992,89,0.0175781,9.5,59.5,-0.32959,-0.026367200000000004,0,-2,-3,0,-1,211685,211683,211682,211685,211684,0.0,0.01757900000000001,-0.0021979999999999222,0.037353,0.0021973000000000027,-0.0021979999999999222,0.01757900000000001,-0.0021979999999999222,0.037353,0.0021973000000000027,25,11,70,143,25,59,-0.3669439,1.026124,-0.841553,0.18457010000000001,217,215,212,2,-5
1160,211685,211702,211707,211715,211773,0,0.0153809,17,-0.333984,22,0.672363,30,-0.129639,88,0.019775400000000002,8.5,59.0,-0.19775399999999999,-0.026367200000000004,0,3,3,2,3,211898,211901,211901,211900,211901,0.008789000000000002,0.028564000000000034,0.019776000000000016,0.00439500000000001,-0.0065918,0.019776000000000016,0.028564000000000034,0.019776000000000016,0.00439500000000001,-0.0065918,22,13,71,145,22,58,-0.3493649,1.006347,-0.8020020000000001,0.1494144,212,217,216,-5,4
1161,211898,211918,211923,211930,211989,0,0.0241699,20,-0.30541999999999997,25,0.6921390000000001,32,-0.125244,91,0.013183600000000002,10.0,61.5,-0.44824200000000003,-0.0153809,0,-12,-8,-3,-31,211989,211977,211981,211986,211958,-0.0109863,0.29663093999999995,-0.6679691000000001,0.1010741,-0.006591800000000001,-0.6679691000000001,0.29663093999999995,-0.6679691000000001,0.1010741,-0.006591800000000001,25,12,71,8,25,59,-0.3295899,0.9975590000000001,-0.8173830000000001,0.13842759999999998,216,212,83,4,-133
1162,211989,211997,212006,212018,212049,0,0.013183600000000002,8,-0.00878906,17,0.0241699,29,-0.0241699,60,0.006591800000000001,4.0,44.5,-0.037353500000000005,-0.0285645,0,12,8,2,29,212114,212126,212122,212116,212143,0.0021972999999999975,-0.28344694,0.6459961000000001,-0.08569310000000002,0.010986299999999997,0.6459961000000001,-0.28344694,0.6459961000000001,-0.08569310000000002,0.010986299999999997,17,21,52,85,17,31,-0.02197266,0.03295896,-0.0483398,0.030761700000000003,83,216,133,-133,50
1163,212114,212134,212139,212145,212203,0,0.0153809,20,-0.292236,25,0.670166,31,-0.10986300000000002,89,0.0175781,10.0,60.0,-0.44824200000000003,-0.013183600000000002,0,0,0,1,-34,212330,212330,212330,212331,212296,0.015380800000000003,-0.037354,0.019774999999999987,-0.02856499999999998,-0.01538083,0.019774999999999987,-0.037354,0.019774999999999987,-0.02856499999999998,-0.01538083,25,11,69,147,25,58,-0.30761689999999997,0.962402,-0.7800290000000001,0.12744110000000003,133,83,216,50,83
1164,212330,212350,212355,212362,212385,0,0.030761700000000003,20,-0.32959,25,0.689941,32,-0.138428,55,0.00219727,10.0,43.5,-0.44824200000000003,-0.026367200000000004,0,0,0,0,38,212545,212545,212545,212545,212583,-0.013183600000000004,0.04394500000000001,0.04174800000000001,-0.01757800000000001,0.01538083,0.04174800000000001,0.04394500000000001,0.04174800000000001,-0.01757800000000001,0.01538083,25,12,35,180,25,23,-0.3603517,1.019531,-0.828369,0.14062527,216,133,215,83,-1
1165,212545,212565,212570,212577,212638,0,0.0175781,20,-0.285645,25,0.731689,32,-0.156006,93,0.0175781,10.0,62.5,-0.44824200000000003,-0.0153809,0,-1,-1,-1,-5,212763,212762,212762,212762,212758,0.006591800000000002,-0.013183000000000056,-0.03295899999999996,0.026367,0.0021973000000000027,-0.03295899999999996,-0.013183000000000056,-0.03295899999999996,0.026367,0.0021973000000000027,25,12,73,144,25,61,-0.30322309999999997,1.017334,-0.887695,0.17358410000000002,215,216,217,-1,2
1166,212763,212782,212787,212794,212851,0,0.0241699,19,-0.29882800000000004,24,0.6987300000000001,31,-0.129639,88,0.019775400000000002,9.5,59.5,-0.32959,-0.026367200000000004,0,1,1,1,3,212980,212981,212981,212981,212983,-0.0021972,0.004394000000000009,-0.02636700000000003,-0.015381000000000006,0.0,-0.02636700000000003,0.004394000000000009,-0.02636700000000003,-0.015381000000000006,0.0,24,12,69,149,24,57,-0.32299790000000006,0.9975580000000002,-0.8283690000000001,0.1494144,217,215,218,2,1
1167,212980,213000,213005,213012,213071,0,0.0219727,20,-0.29443400000000003,25,0.672363,32,-0.14502,91,0.019775400000000002,10.0,61.5,-0.44824200000000003,-0.0153809,0,0,0,0,-7,213197,213197,213197,213197,213190,0.010986299999999994,0.028565000000000007,-0.019774999999999987,0.019776000000000016,-0.004394500000000003,-0.019774999999999987,0.028565000000000007,-0.019774999999999987,0.019776000000000016,-0.004394500000000003,25,12,71,146,25,59,-0.31640670000000004,0.9667970000000001,-0.8173830000000001,0.1647954,218,217,217,1,-1
1168,213197,213217,213222,213229,213281,0,0.032958999999999995,20,-0.265869,25,0.6525880000000001,32,-0.125244,84,0.0153809,10.0,58.0,-0.44824200000000003,-0.039550800000000004,0,-1,0,0,6,213410,213409,213410,213410,213416,-0.013183599999999993,-0.090088,0.0439449999999999,-0.0021970000000000045,0.004394500000000003,0.0439449999999999,-0.090088,0.0439449999999999,-0.0021970000000000045,0.004394500000000003,25,12,64,148,25,52,-0.29882800000000004,0.9184570000000001,-0.7778320000000001,0.1406249,217,218,213,-1,-4
1169,213410,213429,213435,213442,213500,0,0.019775400000000002,19,-0.355957,25,0.696533,32,-0.127441,90,0.019775400000000002,9.5,61.0,-0.32959,-0.0153809,0,1,0,0,-22,213619,213620,213619,213619,213597,0.004394499999999999,0.07470700000000002,0.035156000000000076,-0.006591999999999987,-0.01757813,0.035156000000000076,0.07470700000000002,0.035156000000000076,-0.006591999999999987,-0.01757813,25,13,71,139,25,58,-0.3757324,1.05249,-0.823974,0.1472164,213,217,209,-4,-4
1170,213619,213639,213644,213651,213687,0,0.0241699,20,-0.28125,25,0.731689,32,-0.13403299999999999,68,0.00219727,10.0,50.0,-0.44824200000000003,-0.0219727,0,0,0,0,-13,213829,213829,213829,213829,213816,0.0021973000000000027,0.032959000000000016,-0.03735300000000008,0.017577999999999996,-0.0065918,-0.03735300000000008,0.032959000000000016,-0.03735300000000008,0.017577999999999996,-0.0065918,25,12,48,162,25,36,-0.3054199,1.012939,-0.865722,0.13623027,209,213,210,-4,1
1171,213829,213849,213854,213861,213884,0,0.026367200000000004,20,-0.24829099999999998,25,0.694336,32,-0.11645499999999999,55,-0.00439453,10.0,43.5,-0.44824200000000003,-0.026367200000000004,0,0,0,0,31,214040,214040,214040,214040,214071,0.0,0.004394999999999982,-0.02197299999999991,-0.00439500000000001,0.01757813,-0.02197299999999991,0.004394999999999982,-0.02197299999999991,-0.00439500000000001,0.01757813,25,12,35,176,25,23,-0.27465819999999996,0.9426269999999999,-0.8107909999999999,0.11206047,210,209,211,1,1
